visitor_id,experiment_variation_id,visit_date,trip_id,origin,destination,transport_type,duration_min,distance_km,baseline_price,competitor_price,price_shown,price_paid,price_ratio_vs_competitor,discount_flag,markup_flag,saw_price,clicked_trip,added_to_cart,booked,trip_date,load_factor,seats_left,advance_booking_days,device,os,country,utm_source,returning_user,route_views_last_24h,ATC_rate_last_24h,conversion_rate_last_7d,popularity_score,revenue,netprofit
v_0,1,2025-01-07 00:00:00,1011,BKK,SML,flight,286,796,750,889.6896099223678,884.1184721605997,,0.9937381107977037,0,1,1,1.0,0,0,,,,,mobile,iOS,CN,facebook,1,2011,0.1860651845008209,0.07545447962707788,0.3265407688058354,0.0,0.0
v_1,0,2025-01-14 00:00:00,1003,BKK,HKT,taxi,144,891,1632,1871.0397879618777,1632,,0.8722422743226302,0,0,1,0.0,0,0,,,,,mobile,Android,UK,affiliate,0,2092,0.041400718421970475,0.011407276606707454,0.4234014807063696,0.0,0.0
v_2,1,2025-01-01 00:00:00,1004,HKT,BKK,van,46,363,280,226.30546336112988,322.58413573580816,,1.4254368009712621,0,1,1,0.0,0,0,,,,,desktop,Windows,TH,affiliate,0,4905,0.07287062472200334,0.015720251525742128,0.3109823217156622,0.0,0.0
v_3,0,2025-01-24 00:00:00,1010,KOH,BKK,ferry,211,293,796,691.0948809820336,796,,1.1517955376386206,0,0,1,0.0,0,0,,,,,desktop,Android,UK,google,0,4518,0.1450259490402996,0.019980173873064822,0.4393365018657701,0.0,0.0
v_4,0,2025-01-19 00:00:00,1008,CNX,DMK,ferry,234,706,849,803.6164819825377,849,,1.0564741005628708,0,0,1,0.0,0,0,,,,,desktop,MacOS,UK,direct,0,2655,0.12862726914542072,0.036607031725394264,0.10549425983027061,0.0,0.0
v_5,1,2025-01-28 00:00:00,1002,CNX,BKK,bus,255,234,1194,1029.7145026753078,1374.599310742826,,1.3349324566872378,0,1,1,1.0,1,0,,,,,mobile,Android,CN,affiliate,0,739,0.10704198748973749,0.04756699028339011,0.22210781047073025,0.0,0.0
v_6,1,2025-01-19 00:00:00,1003,BKK,HKT,taxi,144,891,1632,1871.0397879618777,1549.9008903884096,,0.8283634053964805,1,0,1,0.0,0,0,,,,,mobile,Windows,RU,direct,0,3182,0.060688392712304154,0.09789534602493877,0.4110370133182313,0.0,0.0
v_7,0,2025-01-23 00:00:00,1011,BKK,SML,flight,286,796,750,889.6896099223678,750,,0.8429906246353076,0,0,1,0.0,0,0,,,,,desktop,Android,IN,facebook,0,2357,0.0993571205447473,0.09850808268053587,0.39882444244455306,0.0,0.0
v_8,1,2025-01-16 00:00:00,1005,BKK,PTY,van,236,296,1587,1404.3928674585698,1402.3712653037298,,0.9985605152221413,1,0,1,0.0,0,0,,,,,mobile,Android,US,affiliate,1,518,0.14127817023946854,0.04480618116704837,0.9367299887367345,0.0,0.0
v_9,0,01/01/2025,1001,BKK,CNX,bus,59,126,1276,1427.3555404934627,1276,,0.8939608694543363,0,0,1,1.0,0,0,,,,,mobile,MacOS,RU,email,0,3673,0.05955754321777772,0.0996628329782132,0.9654193512887936,0.0,0.0
v_10,0,2025-01-05 00:00:00,1001,BKK,CNX,bus,59,126,1276,1427.3555404934627,1276,,0.8939608694543363,0,0,1,1.0,1,0,,,,,desktop,Windows,TH,direct,1,1678,0.04070945567797662,0.09086987696743715,0.6064290596595899,0.0,0.0
v_11,1,2025-01-03 00:00:00,1001,BKK,CNX,bus,59,126,1276,0.0,1092.6724573906918,,0.7655222727568879,1,0,1,0.0,0,0,,,,,desktop,Android,CN,direct,1,4523,0.07182594265026086,0.07718422646062219,0.6496328990472147,0.0,0.0
v_12,0,2025-01-07 00:00:00,1011,BKK,SML,flight,286,796,750,889.6896099223678,750,750.1977819828893,0.8429906246353076,0,0,1,1.0,1,1,2025-01-21,0.5447623856732047,20.0,14.0,mobile,iOS,IN,direct,0,845,0.0633467488637626,0.012188436978830847,0.6454722959071678,750.1977819828893,344.0203697112973
v_13,1,2025-01-17 00:00:00,1009,BKK,KOH,bus,293,150,1740,2076.3286965215243,1524.885869907732,,0.734414484788644,1,0,1,1.0,0,0,,,,,mobile,Android,UK,affiliate,0,2330,0.0831685684343658,0.08660230043651714,0.31692200515627766,0.0,0.0
v_14,0,2025-01-18 00:00:00,1001,BKK,CNX,bus,59,126,1276,1427.3555404934627,1276,,0.8939608694543363,0,0,1,0.0,0,0,,,,,mobile,Windows,RU,direct,1,4371,0.07830331873175349,0.03642326598380441,0.8093611554785136,0.0,0.0
v_15,1,2025-01-03 00:00:00,1006,PTY,BKK,van,297,767,609,636.1987098949452,523.5365149248802,,0.8229135123699499,1,0,1,1.0,0,0,,,,,mobile,Android,TH,google,0,4959,0.09331008337343652,0.07048235217656795,0.32815266747473193,0.0,0.0
v_16,0,2025-01-26 00:00:00,1009,BKK,KOH,bus,293,150,1740,2076.3286965215243,1740,,0.8380176043008142,0,0,1,0.0,0,0,,,,,desktop,Android,US,facebook,1,34,0.09688038070660843,0.08578207675107834,0.19438003399487302,0.0,0.0
v_17,0,2025-01-30 00:00:00,1012,SML,BKK,bus,136,386,714,637.1432765976858,714,,1.1206270649401266,0,0,1,0.0,0,0,,,,,mobile,iOS,UK,affiliate,1,3705,0.15136810216983193,0.03257744746119951,0.18433367433137005,0.0,0.0
v_18,0,2025-01-30 00:00:00,1008,CNX,DMK,ferry,234,706,849,803.6164819825377,849,,1.0564741005628708,0,0,1,0.0,0,0,,,,,mobile,MacOS,UK,direct,0,4829,0.11532726997716614,0.06505486716109171,0.4196000624277899,0.0,0.0
v_19,1,2025-01-12 00:00:00,1007,DMK,CNX,bus,299,701,1734,1751.1837043552189,1761.6760968730975,,1.0059916001341171,0,1,1,0.0,0,0,,,,,desktop,Android,TH,affiliate,1,2295,error,0.08262216793457017,0.3463043210894008,0.0,0.0
v_20,1,2025-01-30 00:00:00,1001,BKK,CNX,bus,59,126,1276,1427.3555404934627,1325.4859684554679,,0.9286305554937092,0,1,1,0.0,0,0,,,,,mobile,Android,CN,affiliate,1,4641,0.12701172123408364,0.09495024441046815,0.9442515971251674,0.0,0.0
v_21,1,2025-01-28 00:00:00,1009,BKK,KOH,bus,293,150,1740,2076.3286965215243,2064.3650533687637,,0.9942380784059849,0,1,1,0.0,0,0,,,,,desktop,MacOS,IN,affiliate,1,3943,0.04927002837658162,0.03465650145890204,0.21458911970837413,0.0,0.0
v_22,1,2025-01-14 00:00:00,1008,CNX,DMK,ferry,234,706,849,803.6164819825377,756.7626785277752,,0.9416963134713547,1,0,1,0.0,0,0,,,,,mobile,iOS,US,email,1,1546,0.1879631488525844,0.013526769400808164,0.41794603171557876,0.0,0.0
v_23,0,2025-01-29 00:00:00,1011,BKK,SML,flight,286,796,750,889.6896099223678,750,,0.8429906246353076,0,0,1,0.0,0,0,,,,,mobile,iOS,CN,google,1,4162,0.05533340336016464,0.07118603019102213,0.7399087604473745,0.0,0.0
v_24,0,2025-01-03 00:00:00,1002,CNX,BKK,bus,255,234,1194,1029.7145026753078,1194,,1.1595447057391743,0,0,1,0.0,0,0,,,,,mobile,iOS,RU,email,1,1849,0.19051177373965295,0.09555464322438006,0.5734378881232861,0.0,0.0
v_25,1,2025-01-15 00:00:00,?,PTY,BKK,van,297,767,609,636.1987098949452,623.0356879473552,,0.9793098889657234,0,1,1,0.0,0,0,,,,,mobile,Windows,RU,direct,1,3012,0.19922693598576255,0.015028403920961504,0.7370355567910089,0.0,0.0
v_26,0,2025-01-29 00:00:00,1003,BKK,HKT,taxi,144,891,1632,1871.0397879618777,1632,,0.8722422743226302,0,0,1,0.0,0,0,,,,,mobile,Windows,CN,direct,1,1570,0.10753197205155465,0.030990526518207506,0.5813054172267823,0.0,0.0
v_27,0,2025-01-13 00:00:00,1009,BKK,KOH,bus,293,150,1740,2076.3286965215243,1740,,0.8380176043008142,0,0,1,0.0,0,0,,,,,mobile,Windows,UK,google,1,4216,0.05725758934175471,0.03972272761171887,0.43445184448827134,0.0,0.0
v_28,0,2025-01-13 00:00:00,1011,BKK,SML,flight,286,796,750,889.6896099223678,750,,0.8429906246353076,0,0,1,0.0,0,0,,,,,mobile,Windows,CN,direct,1,3470,0.025749351121737304,0.05755331091674883,0.436335831606556,0.0,0.0
v_29,1,2025-01-26 00:00:00,1011,BKK,SML,flight,286,796,750,889.6896099223678,756.8170295015406,,0.8506528805788556,0,1,1,0.0,0,0,,,,,mobile,iOS,IN,facebook,0,1426,error,0.044578164824129796,0.7371007058430192,0.0,0.0
v_30,1,2025-01-11 00:00:00,1001,BKK,CNX,bus,59,126,1276,1427.3555404934627,1119.3162888685622,,0.784188842312963,1,0,1,0.0,0,0,,,,,mobile,Android,US,google,0,4166,0.05939047394230991,0.0507916762145948,0.032315951109650465,0.0,0.0
v_31,0,2025-01-09 00:00:00,1009,BKK,KOH,bus,293,150,1740,2076.3286965215243,1740,,0.8380176043008142,0,0,1,0.0,0,0,,,,,mobile,Windows,CN,facebook,1,1045,0.08152803970682942,0.08294979977036497,0.9872761293149445,0.0,0.0
v_32,0,2025-01-17 00:00:00,1007,DMK,CNX,bus,299,701,1734,1751.1837043552189,1734,,0.9901873776506241,0,0,1,0.0,0,0,,,,,mobile,Android,CN,affiliate,0,4643,0.14142573546209328,0.058091164752651685,0.7499107494699718,0.0,0.0
v_33,0,2025-01-03 00:00:00,1006,PTY,BKK,van,297,767,609,636.1987098949452,609,615.4660352380586,0.9572480901455515,0,0,1,1.0,1,1,2025-01-03,0.6701904790840997,14.0,0.0,mobile,Windows,CN,google,0,3449,0.0610477715848084,0.011996626782727147,0.49816518664589293,615.4660352380586,360.31749532221295
v_34,1,2025-01-22 00:00:00,1008,CNX,DMK,ferry,234,706,849,803.6164819825377,954.8141746310516,,1.188146579915218,0,1,1,0.0,0,0,,,,,mobile,iOS,UK,facebook,0,4011,0.14377515593885248,0.029166774535801968,0.13637147558676976,0.0,0.0
v_35,1,2025-01-28 00:00:00,1001,BKK,CNX,bus,59,126,1276,1427.3555404934627,1491.2164729349015,,1.0447407325152924,0,1,1,0.0,0,0,,,,,desktop,iOS,TH,direct,0,4667,0.12819647304329596,0.08761273378720708,0.9495206236576421,0.0,0.0
